epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,213.412,1.54397,3.11841,1.69219,0.54284,0.46283,0.45705,0.19765,1.75751,2.37359,2.04083,0.00998818,0.00332939,0.00998818,0.00332939,0.00998818,0.00332939,0.00998818,0.00332939
2,365.324,1.4957,2.33602,1.63328,0.48351,0.52926,0.50191,0.22333,1.55674,1.96589,1.89513,0.0197903,0.00659677,0.0197903,0.00659677,0.0197903,0.00659677,0.0197903,0.00659677
3,499.194,1.55969,2.197,1.70186,0.47369,0.25033,0.24212,0.08508,2.02633,3.09226,2.55624,0.0293944,0.00979814,0.0293944,0.00979814,0.0293944,0.00979814,0.0293944,0.00979814
4,600.533,1.61252,2.11033,1.7449,0.54235,0.53299,0.52145,0.21959,1.65169,1.8371,1.9876,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,702.904,1.55024,1.90983,1.69463,0.58645,0.57581,0.58722,0.25474,1.63048,1.6936,1.8845,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,808.511,1.51491,1.81403,1.66033,0.67319,0.61106,0.64242,0.31959,1.48844,1.46974,1.75177,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,913.419,1.46479,1.72544,1.62529,0.65206,0.60188,0.64177,0.30982,1.59032,1.47264,1.83926,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1019.35,1.4425,1.65442,1.61193,0.72864,0.61913,0.68949,0.35031,1.47701,1.36055,1.75676,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1126.28,1.42135,1.62075,1.60368,0.68662,0.62708,0.66917,0.33547,1.49804,1.39104,1.792,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1227.59,1.40554,1.5844,1.58929,0.71941,0.67009,0.73288,0.37852,1.43319,1.2785,1.71554,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1330.88,1.38113,1.52932,1.56267,0.74907,0.67956,0.75221,0.4012,1.43983,1.20976,1.6988,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1434.13,1.35564,1.47826,1.54613,0.702,0.65922,0.71934,0.3814,1.46699,1.21333,1.70438,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1536.77,1.34835,1.46713,1.54847,0.78205,0.70328,0.76411,0.41386,1.36841,1.19134,1.6343,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1638.5,1.33495,1.42537,1.52377,0.80184,0.68826,0.78396,0.4383,1.3708,1.10894,1.62932,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1739.74,1.31442,1.41547,1.5166,0.77027,0.71154,0.76204,0.4337,1.32607,1.21268,1.60194,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1841.72,1.31313,1.38459,1.51155,0.73101,0.72667,0.77372,0.44389,1.31634,1.11242,1.586,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1943.54,1.28442,1.35525,1.49309,0.81867,0.68826,0.76786,0.44755,1.31539,1.11,1.57375,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2044.54,1.27617,1.34738,1.48451,0.80344,0.7308,0.79942,0.45651,1.32461,1.07475,1.5849,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2146.69,1.26846,1.31117,1.4766,0.80193,0.71473,0.79379,0.45307,1.3356,1.09249,1.58677,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2249.24,1.27074,1.31948,1.48283,0.7768,0.7175,0.7953,0.46451,1.29243,1.10438,1.58737,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2384.42,1.25673,1.28081,1.46995,0.81919,0.71459,0.78857,0.46116,1.30401,1.02684,1.60821,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2635.26,1.24624,1.27651,1.46483,0.79689,0.72936,0.79971,0.46996,1.28297,1.02668,1.54947,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2851.49,1.23036,1.25205,1.45299,0.7835,0.745,0.80584,0.47665,1.26998,0.97497,1.56283,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3007.65,1.22721,1.23777,1.45498,0.81365,0.74565,0.8126,0.49318,1.2686,0.9971,1.51746,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3231.09,1.21888,1.23257,1.45045,0.82583,0.72619,0.82221,0.49795,1.25729,0.94533,1.53172,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3390.75,1.20635,1.20468,1.43792,0.80953,0.75272,0.81966,0.4899,1.25331,0.97682,1.5213,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3498,1.20868,1.21141,1.43645,0.79541,0.74239,0.80608,0.48249,1.26542,0.96897,1.54463,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3677.17,1.193,1.19482,1.42255,0.84037,0.73769,0.82886,0.5066,1.23044,0.91795,1.53104,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3844.02,1.18066,1.1698,1.41386,0.82304,0.75709,0.83302,0.5109,1.20094,0.92125,1.47506,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,4040.13,1.18752,1.169,1.43043,0.8298,0.74322,0.81488,0.4914,1.22339,0.97682,1.51155,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,4227.42,1.15919,1.14319,1.40797,0.76763,0.77214,0.81073,0.49956,1.2202,0.9433,1.48578,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,4350.03,1.17423,1.15164,1.41037,0.80132,0.79672,0.84277,0.50252,1.22311,0.89961,1.50229,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4512.27,1.16068,1.14232,1.40193,0.84612,0.73238,0.82502,0.51252,1.17197,0.91692,1.46571,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4659.3,1.15317,1.10741,1.39298,0.8137,0.75428,0.83316,0.51187,1.20868,0.92526,1.48065,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4828.51,1.1544,1.10991,1.39473,0.81337,0.76623,0.82345,0.50068,1.19971,0.89045,1.47883,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5052.21,1.14205,1.11844,1.38776,0.83383,0.77949,0.84204,0.52774,1.19353,0.84395,1.49119,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5183.61,1.13558,1.10056,1.38373,0.82069,0.76783,0.83344,0.52675,1.20232,0.85983,1.4759,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5390.85,1.1373,1.08192,1.38106,0.81632,0.78287,0.83508,0.52796,1.16611,0.8396,1.44693,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5636.32,1.13001,1.08508,1.38389,0.79714,0.80551,0.84894,0.54346,1.16926,0.84125,1.44896,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5895.53,1.11135,1.05969,1.36121,0.81271,0.78285,0.84092,0.53919,1.14717,0.84106,1.43062,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6128.5,1.11037,1.05131,1.36294,0.8202,0.78939,0.84556,0.53021,1.18931,0.8526,1.4638,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6384.23,1.10007,1.04402,1.35554,0.83766,0.77696,0.83597,0.52406,1.16845,0.84408,1.4617,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6559.66,1.10137,1.0373,1.3577,0.8287,0.80256,0.84888,0.54678,1.12725,0.83994,1.41096,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6729.75,1.09497,1.03162,1.35234,0.82685,0.78302,0.84493,0.54305,1.14381,0.83176,1.4309,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6932.96,1.09108,1.03124,1.34717,0.84524,0.77493,0.8511,0.55336,1.11548,0.80347,1.4036,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7173.67,1.08547,1.0122,1.34537,0.80645,0.80822,0.84902,0.55045,1.12332,0.80292,1.41566,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7393.54,1.08318,1.01031,1.34366,0.81686,0.80199,0.84828,0.54966,1.11811,0.78938,1.41882,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7526.58,1.07353,1.00554,1.34192,0.86445,0.78398,0.85436,0.55071,1.14839,0.78291,1.43837,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7698.68,1.06667,0.98717,1.33029,0.83308,0.80192,0.84719,0.55197,1.13795,0.77743,1.43342,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7923.38,1.0647,0.98118,1.3332,0.8575,0.78485,0.84911,0.54866,1.12475,0.77365,1.41937,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8189.08,1.06,0.98146,1.32681,0.84707,0.8046,0.85578,0.55533,1.13727,0.77708,1.42871,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8411.95,1.05558,0.97775,1.32046,0.85029,0.79114,0.85119,0.55418,1.11064,0.78328,1.41063,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8585.13,1.04873,0.97916,1.3294,0.87,0.79083,0.85147,0.55212,1.14246,0.77681,1.42771,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8789.58,1.04584,0.97747,1.31817,0.83564,0.78932,0.85296,0.56028,1.10383,0.7718,1.40774,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8912.72,1.04275,0.96244,1.31701,0.83905,0.78928,0.84589,0.55761,1.10982,0.77159,1.40525,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9110.39,1.03367,0.93671,1.30792,0.84856,0.78573,0.84948,0.55973,1.12265,0.75124,1.41803,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9380.95,1.03176,0.93792,1.31445,0.84934,0.80575,0.85416,0.56145,1.09516,0.76365,1.39566,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,9589.23,1.03111,0.92973,1.30472,0.8576,0.7955,0.85663,0.56923,1.1037,0.75458,1.40254,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,9694.08,1.02814,0.9289,1.2964,0.85985,0.8014,0.86168,0.56966,1.08257,0.75431,1.39266,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,9804.5,1.01158,0.92172,1.29537,0.84308,0.7894,0.83937,0.56244,1.0823,0.75782,1.38423,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9912.97,1.02115,0.91665,1.29342,0.85108,0.79912,0.86258,0.56745,1.07992,0.75122,1.38935,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10022.9,1.00016,0.91058,1.28598,0.86655,0.80125,0.85962,0.57424,1.08405,0.73334,1.40519,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10136.9,1.00218,0.90346,1.29064,0.84058,0.80311,0.85224,0.56652,1.0974,0.74022,1.40681,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10246.2,1.00247,0.90088,1.28254,0.83347,0.80657,0.84987,0.57014,1.08341,0.73255,1.39074,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,10358.1,0.9954,0.88997,1.28101,0.84054,0.80345,0.85264,0.57394,1.07637,0.73474,1.38556,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,10471.1,0.99434,0.89898,1.28177,0.84849,0.80059,0.84607,0.57111,1.08482,0.7546,1.39388,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,10579,0.98884,0.88292,1.28075,0.81315,0.8153,0.84837,0.56776,1.09159,0.73602,1.39614,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,10687.7,0.97731,0.87496,1.26275,0.84333,0.80172,0.84761,0.57171,1.08245,0.72227,1.39262,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,10794.3,0.97783,0.86792,1.26737,0.83274,0.8062,0.851,0.57073,1.09734,0.72589,1.40294,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,10945.9,0.96139,0.85347,1.25616,0.86131,0.79642,0.8584,0.5753,1.08102,0.72338,1.38771,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,11142.2,0.97273,0.84466,1.26262,0.85926,0.79714,0.85913,0.57444,1.07826,0.72017,1.39024,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,11318.5,0.96048,0.8495,1.26149,0.83708,0.82178,0.85688,0.58281,1.06477,0.70718,1.37522,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,11560.1,0.96025,0.85444,1.25961,0.86637,0.80221,0.85656,0.57855,1.06738,0.71038,1.3756,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,11738.1,0.9572,0.84057,1.25502,0.86193,0.80778,0.85419,0.58009,1.07581,0.71201,1.37613,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,11925.1,0.95129,0.84574,1.24957,0.84391,0.81741,0.85532,0.57755,1.05907,0.70474,1.36886,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,12194.8,0.95096,0.84189,1.25589,0.86454,0.78718,0.85537,0.57917,1.06673,0.70656,1.38106,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
